use,1,1,0,1,0,0,0,0,0
K36269323,NA,NA,asymmetrical-dimethylarginine,nitric oxide synthase inhibitor,NOS2|NOS3,Calcium signaling pathway,small molecule binding,drug,NA
K36270037,NA,NA,esculin,antioxidant,NA,NA,NA,drug,NA
K36274133,NA,NA,SUN-B-8155,calcitonin agonist,CALCR,NA,G-protein coupled receptor activity,drug,NA
K36338614,NA,NA,VBY-825,cathepsin inhibitor,CTSB|CTSL|CTSS,NA,NA,drug,NA
K36363294,NA,NA,I-BET151,bromodomain inhibitor,BRD2|BRD3|BRD4,NA,NA,drug,NA
K36368047,NA,NA,plicamycin,alcohol dehydrogenase inhibitor,NA,NA,NA,drug,NA
K36379990,NA,NA,riodipine,calcium channel blocker,NA,NA,NA,drug,NA
K36381762,NA,NA,nor-Binaltorphimine-dihydrochloride,opioid receptor antagonist,OPRD1|OPRK1|OPRM1,NA,G-protein coupled receptor activity,drug,NA
K36386086,NA,NA,dolutegravir,HIV integrase inhibitor,CYP3A4|CYP3A5|CYP3A7|POU2F2|UGT1A1,NA,ion binding,drug,NA
K36394566,NA,NA,melphalan-n-oxide,hypoxia inducible factor inhibitor,HIF1A,NA,NA,drug,NA
K36395411,NA,NA,SB-206553,serotonin receptor antagonist,HTR2A|HTR2B|HTR2C,Calcium signaling pathway,G-protein coupled amine receptor activity,drug,NA
K36449075,NA,NA,copper-histidine,NA,HAL|HARS|HDC|SLC15A3|SLC15A4|SLC38A3|SLC38A5,NA,NA,drug,NA
K36461289,NA,NA,picrotoxinin,GABA receptor antagonist,GLRA1|GLRA2|GLRA3|GLRB|HTR3A|HTR3B,NA,extracellular ligand-gated ion channel activity,drug,NA
K36463073,NA,NA,OC000459,CRTH receptor antagonist,PTGDR2,NA,G-protein coupled receptor activity,drug,NA
K36467523,NA,NA,bindarit,NFkB pathway inhibitor,CCL2|CCL7|CCL8,NA,protein kinase activity,drug,NA
K36474365,NA,NA,tartaric-acid,antioxidant,ATP6V1C1|B3GAT1|DDX6|HIF1AN|TREM1,NA,transmembrane transporter activity,drug,NA
K36485341,NA,NA,GW-542573X,calcium channel activator,KCNN1,NA,ion channel activity,drug,NA
K36515744,NA,NA,ITX3,GEF inhibitor,TRIO,NA,protein serine/threonine kinase activity,drug,NA
K36524108,NA,NA,paromomycin,bacterial 30S ribosomal subunit inhibitor,NA,NA,NA,drug,NA
K36529613,NA,NA,PU-H71,HSP inhibitor,HSP90AA1,NA,protein kinase activity,drug,NA
K36574127,NA,NA,LOXO-101,tropomyosin receptor kinase inhibitor,NTRK1|NTRK2|NTRK3,MAPK signaling pathway,protein kinase activity,drug,NA
K36611520,NA,NA,CP-532623,cholesteryl ester transfer protein inhibitor,CETP,NA,small molecule binding,drug,NA
K36617478,NA,NA,thymol-iodide,NA,NA,NA,NA,drug,NA
K36627727,NA,NA,tamibarotene,retinoid receptor agonist,RARA|RARB,NA,signaling receptor activity,drug,NA
K36636143,NA,NA,nolatrexed,thymidylate synthase inhibitor,TYMS,NA,transferase activity,drug,NA
K36660044,NA,NA,bufexamac,cyclooxygenase inhibitor,HDAC10|HDAC6,NA,NA,drug,NA
K36680103,NA,NA,omecamtiv-mecarbil,cardiac myosin activator,MYBPC3,NA,ion binding,drug,NA
K36697397,NA,NA,GSK-1562590,urotensin receptor antagonist,UTS2R,NA,G-protein coupled receptor activity,drug,NA
K36711084,NA,NA,cyromazine,NA,NA,NA,NA,drug,NA
K36732695,NA,NA,setiptiline,adrenergic receptor antagonist,HRH1|HTR2A|HTR2C,Calcium signaling pathway,G-protein coupled amine receptor activity,drug,NA
K36739687,NA,NA,stemregenin-1,aryl hydrocarbon receptor antagonist,AHR,NA,signaling receptor activity,drug,NA
K36740062,NA,NA,GSK1070916,Aurora kinase inhibitor,AURKA|AURKB|AURKC|CYP2D6|CYP3A4,NA,protein serine/threonine kinase activity,drug,NA
K36741660,NA,NA,verinurad,urate transporter inhibitor,SLC22A12,NA,transmembrane transporter activity,drug,NA
K36756879,NA,NA,ethaverine,calcium channel blocker,NA,NA,NA,drug,NA
K36775483,NA,NA,DMeOB,NA,GRM5,NA,G-protein coupled receptor activity,drug,NA
K36788280,NA,NA,ribociclib,CDK inhibitor,CDK4|CDK6,PI3K-Akt signaling pathway,protein serine/threonine kinase activity,drug,NA
K36802417,NA,NA,diiodothyropropionic-acid,thyroid hormone stimulant,NA,NA,NA,drug,NA
K36804890,NA,NA,NAB-2,ubiquitin ligase transport promoter,NEDD4,NA,transferase activity,drug,NA
K36851334,NA,NA,TRIM,NA,NA,NA,NA,drug,NA
K36859431,NA,NA,sapropterin,phenylalanine 4-hydroxylase stimulant,NOS3|PAH|TH|TPH1,NA,small molecule binding,drug,NA
K36862742,NA,NA,hydroflumethiazide,sodium/potassium/chloride transporter inhibitor,ATP1A1|CA1|CA12|CA2|CA4|CA9|KCNMA1|SLC12A1|SLC12A3,cGMP-PKG signaling pathway,transmembrane transporter activity,drug,NA
K36864847,NA,NA,BD-1047,adrenergic receptor antagonist,SIGMAR1,NA,G-protein coupled receptor activity,drug,NA
K36889451,NA,NA,tetramethylthiuram-monosulfide,NA,NA,NA,NA,drug,NA
K36927236,NA,NA,glyburide,ATP channel blocker; insulin secretagogue; sulfonylurea,ABCA1|ABCB11|ABCC8|ABCC9|CFTR|CPT1A|KCNJ1|KCNJ11|KCNJ5|KCNJ8|SLCO2B1,cAMP signaling pathway,transmembrane transporter activity,drug,NA
K36949735,NA,NA,anlotinib,VEGFR inhibitor; PDGFR tyrosine kinase receptor inhibitor,KDR|PDGFRB,Calcium signaling pathway,protein kinase activity,drug,NA
K36965586,NA,NA,m-Chlorophenylbiguanide,NA,HTR3A|HTR3B,NA,extracellular ligand-gated ion channel activity,drug,NA
K36970462,NA,NA,tonabersat,gap junction modulator; nitric oxide production inhibitor,NA,NA,NA,drug,NA
K36982194,NA,NA,oxacyclohexadecan-2-one,protein kinase inhibitor,NA,NA,NA,drug,NA
K36984403,NA,NA,go-6983,protein kinase inhibitor,PRKCA|PRKCB|PRKCD|PRKCG|PRKCZ,Calcium signaling pathway,protein serine/threonine kinase activity,drug,NA
K36998189,NA,NA,o-mercapto-benzoic-acid,NA,NA,NA,NA,drug,NA
K37069697,NA,NA,fexinidazole,NA,NA,NA,NA,drug,NA
K37083340,NA,NA,lycopene,free radical scavenger,NA,NA,NA,drug,NA
K37087535,NA,NA,DPC-681,HIV protease inhibitor,NA,NA,NA,drug,NA
K37111771,NA,NA,trientine,chelating agent,CA14,NA,ion binding,drug,NA
K37130656,NA,NA,rivaroxaban,coagulation factor inhibitor,F10,NA,ion binding,drug,NA
K37151368,NA,NA,adaptavir,CC chemokine receptor antagonist,CCR5,NA,G-protein coupled receptor activity,drug,NA
K37203094,NA,NA,1-hexadecanol,NA,NA,NA,NA,drug,NA
K37237504,NA,NA,CEP-33779,JAK inhibitor,JAK2,NA,protein kinase activity,drug,NA
K37249724,NA,NA,astemizole,histamine receptor antagonist,HRH1|KCNH1|KCNH2,NA,G-protein coupled amine receptor activity,drug,NA
K37252028,NA,NA,ceftaroline-fosamil,bacterial cell wall synthesis inhibitor,NA,NA,NA,drug,NA
K37270826,NA,NA,mifepristone,glucocorticoid receptor antagonist; progesterone receptor antagonist,AR|NR1I2|NR3C1|PGR,NA,signaling receptor activity,drug,NA
K37289225,NA,NA,clozapine,dopamine receptor antagonist; serotonin receptor antagonist,ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|CALY|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD1|DRD2|DRD3|DRD4|DRD5|HRH1|HRH4|HTR1A|HTR1B|HTR1D|HTR1E|HTR1F|HTR2A|HTR2B|HTR2C|HTR3A|HTR5A|HTR6|HTR7,Calcium signaling pathway,G-protein coupled amine receptor activity,drug,NA
K37312348,NA,NA,kenpaullone,CDK inhibitor; glycogen synthase kinase inhibitor,CCNB1|CDK1|CDK5|GSK3B,PI3K-Akt signaling pathway,protein serine/threonine kinase activity,drug,NA
K37355418,NA,NA,efaproxiral,haemoglobin oxygen release stimulant,HBA1|HBB,NA,ion binding,drug,NA
K37379014,NA,NA,filanesib,kinesin inhibitor; kinesin-like spindle protein inhibitor,KIF11,NA,ATP binding,drug,NA
K37385792,NA,NA,conivaptan,vasopressin receptor antagonist,AVPR1A|AVPR2,NA,G-protein coupled receptor activity,drug,NA
K37419961,NA,NA,talabostat,dipeptidyl peptidase inhibitor; fibroblast activation protein inhibitor,DPP4,NA,NA,drug,NA
K37492701,NA,NA,BI-847325,MEK inhibitor; Aurora kinase inhibitor,AURKA|AURKB|AURKC|MAP2K1|MAP2K2,MAPK signaling pathway,protein serine/threonine kinase activity,drug,NA
K37516142,NA,NA,idebenone,calcium channel modulator,NA,NA,NA,drug,NA
K37543758,NA,NA,trepibutone,cholinergic receptor antagonist,CHRM1|CHRM2|CHRM3|CHRM4,Calcium signaling pathway,G-protein coupled amine receptor activity,drug,NA
K37561857,NA,NA,zardaverine,phosphodiesterase inhibitor,PDE4D,NA,small molecule binding,drug,NA
K37590257,NA,NA,GSK256066,phosphodiesterase inhibitor,PDE4A,NA,small molecule binding,drug,NA
K37602296,NA,NA,NS-309,calcium-activated potassium channel activator,KCNN1|KCNN2|KCNN3|KCNN4,NA,ion channel activity,drug,NA
K37618799,NA,NA,MRS-1220,adenosine receptor antagonist,ADORA2B|ADORA3,cGMP-PKG signaling pathway,G-protein coupled receptor activity,drug,NA
K37635256,NA,NA,S-07662,CAR antagonist,NR1I3,NA,signaling receptor activity,drug,NA
K37682401,NA,NA,piromidic-acid,bacterial DNA gyrase inhibitor,NA,NA,NA,drug,NA
K37687095,NA,NA,AZD8330,MEK inhibitor,NA,NA,NA,drug,NA
K37687387,NA,NA,RU-28318,cytochrome P450 inhibitor,NR3C2,NA,signaling receptor activity,drug,NA
K37688416,NA,NA,fipexide,psychoactive drug,NA,NA,NA,drug,NA
K37694030,NA,NA,doxepin,histamine receptor antagonist,ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD2|HRH1|HRH2|HRH4|HTR1A|HTR2A|HTR2B|HTR2C|HTR6|KCNH2|SLC6A2|SLC6A4,Calcium signaling pathway,G-protein coupled amine receptor activity,drug,NA
K37708699,NA,NA,exisulind,phosphodiesterase inhibitor,PDE5A,NA,small molecule binding,drug,NA
K37714784,NA,NA,ABT-724,dopamine receptor agonist,DRD4,NA,neurotransmitter receptor activity,drug,NA
K37720887,NA,NA,SB-525334,TGF beta receptor inhibitor,TGFBR1,NA,protein serine/threonine kinase activity,drug,NA
K37723606,NA,NA,dioscin,apoptosis stimulant,CXCR3,NA,G-protein coupled receptor activity,drug,NA
K37747025,NA,NA,sanazole,NA,NA,NA,NA,drug,NA
K37753391,NA,NA,tylosin,protein synthesis inhibitor,NA,NA,NA,drug,NA
K37764012,NA,NA,PF-03758309,p21 activated kinase inhibitor,PAK4,NA,protein serine/threonine kinase activity,drug,NA
K37793595,NA,NA,afobazole,anxiolytic,NA,NA,NA,drug,NA
K37798499,NA,NA,etoposide,topoisomerase inhibitor,TOP2A|TOP2B,NA,ATP binding,drug,NA
K37814297,NA,NA,acepromazine,dopamine receptor antagonist,ADRA1A|ADRA1B|DRD1|DRD2|HTR1A|HTR2A,Calcium signaling pathway,G-protein coupled amine receptor activity,drug,NA
K37846922,NA,NA,"3,3'-diindolylmethane","CHK inhibitor; cytochrome P450 activator; indoleamine 2,3-dioxygenase inhibitor",AR|HIF1A|IFNG|PI3,NA,signaling receptor activity,drug,NA
K37848908,NA,NA,ceforanide,penicillin binding protein inhibitor,NA,NA,NA,drug,NA
K37851352,NA,NA,isopentyl-4-methoxycinnamate,NA,NA,NA,NA,drug,NA
K37864785,NA,NA,GW-311616,leukocyte elastase inhibitor; elastase inhibitor,ELANE,NA,NA,drug,NA
K37865504,NA,NA,LY2183240,FAAH inhibitor; FAAH reuptake inhibitor,FAAH,NA,NA,drug,NA
K37872686,NA,NA,tirofiban,platelet aggregation inhibitor; structural glycoprotein antagonist,ITGA2B|ITGB3,Rap1 signaling pathway,ion binding,drug,NA
K37890730,NA,NA,camptothecin,topoisomerase inhibitor,TOP1,NA,heterocyclic compound binding,drug,NA
K37933329,NA,NA,BTB06584,ATPase inhibitor,ATP5F1,NA,transmembrane transporter activity,drug,NA
K37949327,NA,NA,etidronic-acid,bone resorption inhibitor,ATP6V1A|PTPRS,NA,transmembrane transporter activity,drug,NA
K37952347,NA,NA,"L-732,138",tachykinin antagonist,TACR1|TACR2,Calcium signaling pathway,G-protein coupled receptor activity,drug,NA
K37991163,NA,NA,paroxetine,selective serotonin reuptake inhibitor (SSRI),CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|HTR2A|SLC6A2|SLC6A4,Calcium signaling pathway,G-protein coupled amine receptor activity,drug,NA
K38003476,NA,NA,clocortolone-pivalate,steroid,NR3C1|PLA2G1B,NA,signaling receptor activity,drug,NA
K38018935,NA,NA,OTS514,TOPK inhibitor,NA,NA,NA,drug,NA
K38019854,NA,NA,A-317491,purinergic receptor antagonist,P2RX3,NA,extracellular ligand-gated ion channel activity,drug,NA
K38041788,NA,NA,norgestimate,progesterone receptor agonist,ESR1|PGR,NA,signaling receptor activity,drug,NA
K38055836,NA,NA,ethamivan,respiratory stimulant,NA,NA,NA,drug,NA
K38088841,NA,NA,cinnamaldehyde,aldose reductase inhibitor; TRPV agonist,TRPA1,NA,ion channel activity,drug,NA
K38140108,NA,NA,gadodiamide,radiopaque medium,NA,NA,NA,drug,NA
K38145871,NA,NA,PDE10-IN-1,phosphodiesterase inhibitor,PDE10A,NA,small molecule binding,drug,NA
K38158531,NA,NA,traxoprodil,glutamate receptor antagonist,GRIN2B,NA,extracellular ligand-gated ion channel activity,drug,NA
K38168441,NA,NA,dabigatran,thrombin inhibitor,F2,NA,signaling receptor activity,drug,NA
K38183498,NA,NA,clonazepam,GABA benzodiazepine site receptor agonist,GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ|TSPO,NA,extracellular ligand-gated ion channel activity,drug,NA
K38197229,NA,NA,bumetanide,solute carrier family member inhibitor,CFTR|GPR35|SLC12A1|SLC12A2|SLC12A4|SLC12A5,NA,ion channel activity,drug,NA
K38272302,NA,NA,GK921,transglutaminase inhibitor,TGM2,NA,ATP binding,drug,NA
K38287497,NA,NA,narlaprevir,HCV inhibitor,NA,NA,NA,drug,NA
K38305202,NA,NA,domperidone,dopamine receptor antagonist,DRD2|DRD3,NA,NA,drug,NA
K38323065,NA,NA,phenacetin,cyclooxygenase inhibitor,PTGS1,NA,ion binding,drug,NA
K38332599,NA,NA,uprosertib,AKT inhibitor,AKT1|AKT2|AKT3,MAPK signaling pathway,NA,drug,NA
K38350380,NA,NA,FK-3311,cyclooxygenase inhibitor,PTGS2,NA,ion binding,drug,NA
K38370968,NA,NA,3-AQC,serotonin receptor agonist,HTR3A,NA,extracellular ligand-gated ion channel activity,drug,NA
K38380126,NA,NA,thiamet-g,GLCNAC phosphotransferase inhibitor,MGEA5,NA,NA,drug,NA
K38385169,NA,NA,LY3009120,RAF inhibitor,BRAF|RAF1,MAPK signaling pathway,protein serine/threonine kinase activity,drug,NA
K38398115,NA,NA,YM-511,aromatase inhibitor,CYP19A1,NA,ion binding,drug,NA
K38436528,NA,NA,imipramine,norepinephrine reputake inhibitor; serotonin reuptake inhibitor,ADRA1A|ADRA1B|ADRA1D|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD1|DRD2|DRD5|HRH1|HTR1A|HTR2A|HTR2C|HTR6|HTR7|KCND2|KCND3|KCNH1|KCNH2|SLC6A2|SLC6A3|SLC6A4,Calcium signaling pathway,G-protein coupled amine receptor activity,drug,NA
K38458514,NA,NA,diazooxonorleucine,glutamate receptor antagonist,NA,NA,NA,drug,NA
K38473998,NA,NA,cilomilast,phosphodiesterase inhibitor,PDE4A|PDE4B|PDE4D,cAMP signaling pathway,small molecule binding,drug,NA
K38477637,NA,NA,droloxifene,selective estrogen receptor modulator (SERM),ESR1,NA,signaling receptor activity,drug,NA
K38512030,NA,NA,rifamycin,DNA directed RNA polymerase inhibitor,SLCO1A2|SLCO1B1|SLCO1B3|SLCO2B1,NA,transmembrane transporter activity,drug,NA
K38527262,NA,NA,atiprimod,JAK inhibitor; STAT inhibitor,JAK2|STAT3,NA,protein kinase activity,drug,NA
K38548312,NA,NA,VER-49009,HSP inhibitor,HSP90AA1,NA,protein kinase activity,drug,NA
K38564664,NA,NA,rolziracetam,NA,NA,NA,NA,drug,NA
K38580127,NA,NA,serotonin,growth factor receptor activator,DRD1|DRD5|HTR1A|HTR1B|HTR1D|HTR1E|HTR1F|HTR2A|HTR2B|HTR2C|HTR3A|HTR3B|HTR4|HTR5A|HTR6|HTR7|SLC36A1,Calcium signaling pathway,neurotransmitter receptor activity,drug,NA
K38602774,NA,NA,sulisobenzone,NA,NA,NA,NA,drug,NA
K38627885,NA,NA,APY0201,phosphoinositide dependent kinase inhibitor,IL12A|IL12B|PIKFYVE,NA,NA,drug,NA
K38684403,NA,NA,roxithromycin,bacterial 50S ribosomal subunit inhibitor,ABCB1|MLNR,NA,transmembrane transporter activity,drug,NA
K38687824,NA,NA,beta-amyloid-synthesis-inhibitor,beta amyloid synthesis inhibitor,APP,NA,ion binding,drug,NA
K38727704,NA,NA,IPA-3,p21 activated kinase inhibitor,PAK1,NA,protein serine/threonine kinase activity,drug,NA
K38793468,NA,NA,TAK-220,CC chemokine receptor antagonist,CCR5,NA,G-protein coupled receptor activity,drug,NA
K38820178,NA,NA,nedaplatin,DNA inhibitor,NA,NA,NA,drug,NA
K38852836,NA,NA,ganetespib,HSP inhibitor,HSP90AA1,NA,protein kinase activity,drug,NA
K38860038,NA,NA,JK-184,hedgehog pathway inhibitor,NA,NA,NA,drug,NA
K38868394,NA,NA,MK-0773,androgen receptor modulator,AR,NA,signaling receptor activity,drug,NA
K38875233,NA,NA,JZL-195,FAAH inhibitor; monoacylglycerol lipase inhibitor,FAAH|MGLL,NA,NA,drug,NA
K38903228,NA,NA,hesperidin,flavanone glycoside,CACNA1B,NA,ion channel activity,drug,NA
K38904395,NA,NA,SAR131675,VEGFR inhibitor,FLT4,NA,protein kinase activity,drug,NA
K38905597,NA,NA,SIS3,serine/threonine kinase inhibitor,SMAD3|TGFBR1,MAPK signaling pathway,ion binding,drug,NA
K38911213,NA,NA,apraclonidine,adrenergic receptor agonist,ADRA1A|ADRA2A|ADRA2B|ADRA2C,cGMP-PKG signaling pathway,G-protein coupled amine receptor activity,drug,NA
K38913877,NA,NA,azimilide,potassium channel blocker,KCNA5|KCNE1|KCNH2|KCNQ1,NA,ion channel activity,drug,NA
K38938675,NA,NA,morniflumate,anti-inflammatory agent,NA,NA,NA,drug,NA
K38966689,NA,NA,UAMC-00039,dipeptidyl peptidase inhibitor,DPP4|DPP7,NA,NA,drug,NA
K38969488,NA,NA,tributyrin,HDAC inhibitor,NA,NA,NA,drug,NA
K39009484,NA,NA,entrectinib,ALK tyrosine kinase receptor inhibitor; proto-oncogene tyrosine protein kinase inhibitor,ALK|NTRK1|NTRK2|NTRK3|ROS1,MAPK signaling pathway,protein serine/threonine kinase activity,drug,NA
K39023557,NA,NA,octocrylene,NA,NA,NA,NA,drug,NA
K39061174,NA,NA,beta-glycerophosphoric-acid,NA,NA,NA,NA,drug,NA
K39079086,NA,NA,cinchonidine,P glycoprotein inhibitor,NA,NA,NA,drug,NA
K39120595,NA,NA,bithionol,autotaxin inhibitor,ESR1|ESR2|MCL1,PI3K-Akt signaling pathway,signaling receptor activity,drug,NA
K39160765,NA,NA,4-chlorophenylguanidine,urokinase inhibitor,PLAUR,NA,kinase activity,drug,NA
K39166528,NA,NA,ID-8,NA,NA,NA,NA,drug,NA
K39171998,NA,NA,STF-118804,NAMPT inhibitor,NAMPT,NA,transferase activity,drug,NA
K39230570,NA,NA,clomesone,DNA inhibitor,NA,NA,NA,drug,NA
K39252998,NA,NA,atipamezole,adrenergic receptor antagonist,NA,NA,NA,drug,NA
K39339537,NA,NA,epirizole,cyclooxygenase inhibitor,PTGS1|PTGS2,NA,ion binding,drug,NA
K39359968,NA,NA,L-755507,adrenergic receptor agonist,ADRB1|ADRB2|ADRB3,Calcium signaling pathway,G-protein coupled amine receptor activity,drug,NA
K39371216,NA,NA,cyacetacide,NA,NA,NA,NA,drug,NA
K39381259,NA,NA,DMH1,ALK tyrosine kinase receptor inhibitor,ACVR1,NA,protein serine/threonine kinase activity,drug,NA
K39462424,NA,NA,dexchlorpheniramine,histamine receptor antagonist,NA,NA,NA,drug,NA
K39467894,NA,NA,nithiamide,bacterial DNA inhibitor,NA,NA,NA,drug,NA
K39484304,NA,NA,triptolide,RNA polymerase inhibitor,RELA,NA,ion binding,drug,NA
K39495750,NA,NA,chlorobutanol,NA,NA,NA,NA,drug,NA
K39503511,NA,NA,quiflapon,leukotriene synthesis inhibitor,ALOX5|ALOX5AP,NA,ion binding,drug,NA
K39520573,NA,NA,GW-5074,RAF inhibitor; leucine rich repeat kinase inhibitor,NTRK1|RAF1,MAPK signaling pathway,protein kinase activity,drug,NA
K39558284,NA,NA,SDZ-WAG-994,adenosine receptor agonist,ADORA1,NA,G-protein coupled receptor activity,drug,NA
K39560679,NA,NA,eluxadoline,opioid receptor modulator,OPRD1|OPRK1|OPRM1,NA,G-protein coupled receptor activity,drug,NA
K39576764,NA,NA,mivobulin,microtubule inhibitor,NA,NA,NA,drug,NA
K39621635,NA,NA,artemether,antimalarial agent,ATP1A1,NA,transmembrane transporter activity,drug,NA
K39624409,NA,NA,ADL5859,opioid receptor agonist,OPRD1,NA,G-protein coupled receptor activity,drug,NA
K39670393,NA,NA,amthamine,histamine receptor agonist,HRH2,NA,G-protein coupled amine receptor activity,drug,NA
K39693230,NA,NA,N-salicoylaminophenol,ribonucleotide reductase inhibitor,NA,NA,NA,drug,NA
K39706510,NA,NA,MIRA-1,apoptosis stimulant,NA,NA,NA,drug,NA
K39707084,NA,NA,lynestrenol,progestogen hormone,NA,NA,NA,drug,NA
K39733634,NA,NA,L-161982,prostanoid receptor antagonist,PTGER4,NA,G-protein coupled receptor activity,drug,NA
K39746403,NA,NA,erythromycin-estolate,bacterial 50S ribosomal subunit inhibitor,ABCB1|ALB|CYP3A4|CYP51A1|KCNH2|MLNR|SLC47A1,NA,transmembrane transporter activity,drug,NA
K39805756,NA,NA,TPPS4,NA,NA,NA,NA,drug,NA
K39841531,NA,NA,TG-101209,JAK inhibitor,JAK2|JAK3,PI3K-Akt signaling pathway,protein kinase activity,drug,NA
K39915878,NA,NA,loxapine,dopamine receptor antagonist; serotonin receptor antagonist,ADRA1A|ADRA1B|ADRA2A|ADRA2B|ADRA2C|ADRB1|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD1|DRD2|DRD3|DRD4|DRD5|HRH1|HRH2|HRH4|HTR1A|HTR1B|HTR1D|HTR1E|HTR2A|HTR2C|HTR3A|HTR5A|HTR6|HTR7|SLC6A2|SLC6A3|SLC6A4,Calcium signaling pathway,G-protein coupled amine receptor activity,drug,NA
K39965020,NA,NA,doconexent,PPAR receptor agonist,FFAR1|PTGS1|PTGS2,NA,G-protein coupled receptor activity,drug,NA
K39974922,NA,NA,lenvatinib,FGFR inhibitor; KIT inhibitor; PDGFR tyrosine kinase receptor inhibitor; VEGFR inhibitor,FLT4|KDR,Rap1 signaling pathway,protein kinase activity,drug,NA
K39983086,NA,NA,loteprednol,glucocorticoid receptor agonist; phospholipase inhibitor,NR3C1,NA,signaling receptor activity,drug,NA
K39987650,NA,NA,bisacodyl,laxative,NA,NA,NA,drug,NA
K40002998,NA,NA,org-26576,glutamate receptor modulator,NA,NA,NA,drug,NA
K40109029,NA,NA,SB-505124,ALK tyrosine kinase receptor inhibitor,TGFBR1,NA,protein serine/threonine kinase activity,drug,NA
K40175214,NA,NA,torin-1,mTOR inhibitor,MTOR,NA,NA,drug,NA
K40176866,NA,NA,NS-9283,acetylcholine receptor allosteric modulator,CHRNA4,NA,extracellular ligand-gated ion channel activity,drug,NA
K40227168,NA,NA,vinburnine,adrenergic receptor antagonist,CHRM1|CHRM2|CHRM3|CHRM4,Calcium signaling pathway,G-protein coupled amine receptor activity,drug,NA
K40255344,NA,NA,tyrphostin-A9,protein tyrosine kinase inhibitor; tyrosine kinase inhibitor,NA,NA,NA,drug,NA
K40269473,NA,NA,cathepsin-inhibitor-1,cathepsin inhibitor,CTSB|CTSL|CTSV,NA,NA,drug,NA
K40302533,NA,NA,PF-5274857,smoothened receptor antagonist,SMO,NA,G-protein coupled receptor activity,drug,NA
K40308497,NA,NA,crizotinib-(S),MTH1 inhibitor,NUDT1,NA,ion binding,drug,NA
K40331046,NA,NA,CR8-(R),CDK inhibitor,CCNA2,NA,NA,drug,NA
K40366680,NA,NA,CAY10505,PI3K inhibitor,PIK3CG,NA,protein serine/threonine kinase activity,drug,NA
K40407248,NA,NA,micafungin,"fungal 1,3-beta-D-glucan synthase inhibitor",NA,NA,NA,drug,NA
K40438880,NA,NA,spermidine,glutamate receptor modulator,KCNJ4|TXNRD1,NA,ion channel activity,drug,NA
K40496271,NA,NA,eltrombopag,thrombopoietin receptor agonist,MPL,NA,signaling receptor activity,drug,NA
K40530731,NA,NA,hyoscyamine,acetylcholine receptor antagonist,CHRM1|CHRM2|CHRM3|CHRM4,Calcium signaling pathway,G-protein coupled amine receptor activity,drug,NA
K40575944,NA,NA,DMH4,VEGFR inhibitor,KDR,NA,protein kinase activity,drug,NA
K40578143,NA,NA,GR-79236,adenosine receptor agonist,ADORA1|ADORA2A,Calcium signaling pathway,G-protein coupled receptor activity,drug,NA
K40581315,NA,NA,butabindide,tripeptidyl peptidase inhibitor,TPP2,NA,NA,drug,NA
K40604024,NA,NA,KRCA-0008,ALK inihibitor,ALK,NA,protein serine/threonine kinase activity,drug,NA
K40621224,NA,NA,pentetic-acid,chelating agent,PGD,NA,NA,drug,NA
K40624912,NA,NA,ZM-39923,JAK inhibitor,JAK1|JAK3,PI3K-Akt signaling pathway,protein kinase activity,drug,NA
K40654626,NA,NA,ditiocarb-sodium-trihydrate,immunostimulant,CA1|CA2|CA4,NA,ion binding,drug,NA
K40715924,NA,NA,medorinone,NA,NA,NA,NA,drug,NA
K40718343,NA,NA,AEE788,EGFR inhibitor; VEGFR inhibitor,EGFR|ERBB2|ERBB4|FGFR2|FGFR3|KDR,Calcium signaling pathway,protein serine/threonine kinase activity,drug,NA
K40738845,NA,NA,BMS-777607,AXL kinase inhibitor; c-Met inhibitor; FLT3 inhibitor; hepatocyte growth factor receptor inhibitor; macrophage migration inhibiting factor inhibitor; tyrosine kinase inhibitor,AXL|MERTK|MET|MST1R|TYRO3,Rap1 signaling pathway,protein kinase activity,drug,NA
K40758068,NA,NA,efavirenz,HIV protease inhibitor,CYP1A2|CYP2B6|CYP2C19|CYP2C9|CYP2D6|CYP3A4,NA,ion binding,drug,NA
K40767677,NA,NA,RP67580,NA,NA,NA,NA,drug,NA
K40782193,NA,NA,QX-222,sodium channel blocker,NA,NA,NA,drug,NA
K40787673,NA,NA,lacitol,osmosis stimulant,NA,NA,NA,drug,NA
K40797222,NA,NA,SC-12267,dihydroorotate dehydrogenase inhibitor,IL17A,NA,NA,drug,NA
K40831222,NA,NA,moxalactam,bacterial cell wall synthesis inhibitor,NA,NA,NA,drug,NA
K40853697,NA,NA,STAT3-inhibitor-VI,STAT inhibitor,STAT3,NA,heterocyclic compound binding,drug,NA
